id,conversation,username,text,retweets,favorites,date,batch
919713687941685248,919713687941685248,TeachOUTJulie,yes assault harassment and stalking . i actually denial  of  normal ’ t know any women who haven ’ t been at some point .,0,0,2017-10-15,batch_199.json
920701239385399296,920701239385399296,ChugNChat,sending all women out there a whole lot of love,0,2,2017-10-18,batch_199.json
920333466322976768,920333466322976768,CourtneyImholt1,everything can feel unsafe after you are not safe in your own body . women men children . <repeated> both hashtags are valid .,0,0,2017-10-17,batch_199.json
920012003317465088,920012003317465088,kaylaminami,i felt someone squeeze my butt thought it was a guy i was dating so i turned around smiling and saw a man  3 x my age grinning at me,0,23,2017-10-16,batch_199.json
920155777813266432,920155777813266432,ToriDeanda,every story is sacred and deserves to be heard . i support you . i understand you . i love you . you are important .,2,8,2017-10-17,batch_199.json
920073376302899206,920073376302899206,crisp22,18  - boobs grabbed by a bouncer that was only supposed to be searching guys . multiple witnesses . court date . groper got away with it,0,4,2017-10-16,batch_199.json
920442416158580736,920442416158580736,Rev_Orbb,to all the women using the hashtag to share their horrific experiences : thank you for your courage !,0,1,2017-10-17,batch_199.json
920109534852427776,920109534852427776,joholly13,molested at age  5 sexually harassed most of my career . …,0,0,2017-10-16,batch_199.json
920140563537567748,920140563537567748,limestealinghoe,hey so maybe don 't bring people who ve been convicted of sexual assault to present in class with no warning,1,5,2017-10-17,batch_199.json
919937895842156544,919937895842156544,lilpow57,17  700  000 = number of woman who have been victims of rape since  1998 <percent> of woman rape survivors who will attempt suicide,0,9,2017-10-16,batch_199.json
919714990306627584,919714990306627584,scobian66,first time i was sexually assaulted i was  12 years old . two older cousins started sexually harassing me . horrifying feeling,0,0,2017-10-15,batch_199.json
930094830721437696,930092128881037320,gretch_147,using the words gang and her in the same sentence is incredibly inappropriate  -  - esp in today s climate .,0,0,2017-11-13,batch_199.json
920053307615219713,920051358497214464,esamunequita12,it ’ s been  7 and still no one knows . <repeated> i can ’ t say the word . <repeated> this has helped me at least a bit .,0,1,2017-10-16,batch_199.json
920033306506227714,920033306506227714,esamunequita12,it ’ s been years and i still have nightmares . <repeated>,0,0,2017-10-16,batch_199.json
